ensembl_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_symbol
ENSG00000044115,50.79235272362358,0.7617211718017796,0.14419140962967708,5.282708406541608,1.272879047575632e-07,5.332419130252904e-07,CTNNA1
ENSG00000125505,99.90900374452994,0.6688243215582369,0.126825027305665,5.27359887687059,1.3377412666932382e-07,5.599370174216842e-07,MBOAT7
ENSG00000100242,9.196705331177801,-1.8629924658387926,0.3534395544454759,-5.271035577106554,1.3565616887983004e-07,5.673314160642425e-07,SUN2
ENSG00000158716,14.815222589188007,-1.3707930117806193,0.26015894394419015,-5.2690597178726435,1.3712435222358595e-07,5.729839003628413e-07,DUSP23
ENSG00000070010,55.24580795889787,-0.7753420495755807,0.14719740458142344,-5.267362232237552,1.383979516638359e-07,5.778143878301525e-07,UFD1L
ENSG00000116691,17.240683182669283,1.2342126228625638,0.23445067035380338,5.264274233040348,1.4074423464984575e-07,5.871113489552988e-07,MIIP
ENSG00000172322,17.56639783041082,1.6911951513987182,0.3213434541975522,5.262889687987927,1.41808671004399e-07,5.910498806748232e-07,CLEC12A
ENSG00000204435,77.48187134869269,-0.6139938880298492,0.11676259390421283,-5.258481055444385,1.4525014572665652e-07,6.048806916108392e-07,CSNK2B
ENSG00000128604,14.691726698050278,1.210942973275512,0.23080052829723618,5.2467079785710045,1.5484103376340768e-07,6.442750549647632e-07,IRF5
ENSG00000155366,65.89302201037718,0.6812638287393282,0.12986465192896762,5.245952756350979,1.5547674263564823e-07,6.463728539015021e-07,RHOC
ENSG00000205726,5.739739431600831,2.5494939562116943,0.48627612344449833,5.242893560458112,1.5807773879406816e-07,6.56630607298437e-07,ITSN1
ENSG00000173960,11.551426945047023,1.4617088920671282,0.2794454950231582,5.230747741866418,1.688257562690298e-07,7.006839242449429e-07,UBXN2A
ENSG00000159388,71.2866564657099,-0.7927323600376677,0.15167519408586588,-5.226512910139337,1.7273676346989998e-07,7.163109330726485e-07,BTG2
ENSG00000115561,53.33391499750684,0.707281740416386,0.135498984817705,5.2198305497855575,1.7908691016862307e-07,7.420177711371111e-07,CHMP3
ENSG00000023734,33.8089250700374,-0.9483647593548514,0.18173158142587834,-5.218491755334528,1.803860068238965e-07,7.46770714012323e-07,STRAP
